,Locus,Pubmed_number
0,6W3M_A,32807496
2,AB111086,17617845
3,AB111087,17617845
4,AB111088,17617845
8,AB300619,17869351
9,AB300620,17869351
10,AB300621,17869351
11,AB609591,16316713
14,AB908053,24650864
26,AF231722,10708439
27,AF231723,10708439
28,AF231724,10708439
29,AF231725,10708439
30,AF231726,10708439
32,AF310150,11222098
33,AF310151,11222098
34,AF310152,11222098
35,AF310153,11222098
36,AF310154,11222098
37,AF326573,11716091
38,AF326825,11716091
39,AF326826,11716091
40,AF326827,11716091
41,AF375822,11559806
42,AF459620,12363071
43,AF459621,12363071
44,AF459622,12363071
45,AF459623,12363071
46,AF459624,12363071
47,AF459625,12363071
48,AF459626,12363071
49,AF459627,12363071
50,AH011951,12832629
51,AH011952,12832629
52,AH011953,12832629
53,AH011954,12832629
54,AH011955,12832629
55,AH011956,12832629
56,AH011957,12832629
57,AH011958,12832629
58,AH011959,12832629
59,AH011960,12832629
60,AH011961,12832629
61,AH011962,12832629
62,AH011963,12832629
63,AH011964,12832629
64,AH011965,12832629
65,AH011966,12832629
66,AH011967,12832629
67,AH011968,12832629
68,AH011969,12832629
69,AH011970,12832629
70,AH011971,12832629
71,AH011972,12832629
72,AH011973,12832629
73,AH011974,12832629
74,AH011975,12832629
75,AH011976,12832629
76,AH011977,12832629
77,AH011978,12832629
78,AH011979,12832629
79,AH011980,12832629
80,AH011981,12832629
81,AH011982,12832629
82,AH011983,12832629
83,AH011984,12832629
84,AH011985,12832629
85,AH011986,12832629
86,AH011987,12832629
87,AH011988,12832629
88,AH011989,12832629
89,AH011990,12832629
90,AH011991,12832629
91,AH011992,12832629
92,AH011993,12832629
93,AH011994,12832629
94,AH011995,12832629
95,AH011996,12832629
96,AH011997,12832629
97,AH011998,12832629
98,AH011999,12832629
99,AH012000,12832629
100,AH012001,12832629
101,AH012002,12832629
102,AH012003,12832629
103,AH012004,12832629
104,AH012005,12832629
105,AH012006,12832629
106,AH012007,12832629
107,AH012008,12832629
108,AH012009,12832629
109,AH012010,12832629
110,AH012011,12832629
111,AH012012,12832629
112,AH012013,12832629
113,AH012014,12832629
114,AH012015,12832629
115,AH012016,12832629
116,AH012017,12832629
117,AH012018,12832629
118,AH012019,12832629
119,AH012020,12832629
120,AH012021,12832629
121,AH012022,12832629
122,AH012023,12832629
123,AH012024,12832629
124,AH012025,12832629
125,AH012026,12832629
126,AH012027,12832629
127,AH012028,12832629
128,AH012029,12832629
129,AH012030,12832629
130,AH012031,12832629
131,AH012032,12832629
132,AJ428556,12237425
133,AJ428557,12237425
134,AJ428558,12237425
135,AJ428559,12237425
136,AJ428560,12237425
139,AY152364,12620805
140,AY152365,12620805
141,AY152366,12620805
142,AY152367,12620805
143,AY152368,12620805
144,AY152369,12620805
145,AY152370,12620805
146,AY152371,12620805
147,AY152372,12620805
148,AY152373,12620805
149,AY152374,12620805
150,AY152375,12620805
151,AY152376,12620805
152,AY152377,12620805
153,AY152378,12620805
154,AY152379,12620805
155,AY152380,12620805
156,AY152381,12620805
157,AY152382,12620805
158,AY152383,12620805
159,AY152384,12620805
160,AY152385,12620805
161,AY152386,12620805
162,AY152387,12620805
163,AY152388,12620805
164,AY152389,12620805
168,AY243466,14505913
169,AY243467,14505913
170,AY243468,14505913
171,AY243469,14505913
172,AY253850,18439431
173,AY376438,11716091
175,AY498849,15695666
177,AY559316,15302944
178,AY618935,15476884
179,AY618936,15476884
180,AY618937,15476884
181,AY618938,15476884
182,AY618939,15476884
183,AY618940,15476884
184,AY618941,15476884
185,AY618942,15476884
186,AY618943,15476884
187,AY618944,15476884
188,AY618945,15476884
189,AY618946,15476884
190,AY618947,15476884
191,AY618948,15476884
192,AY618949,15476884
193,AY618950,15476884
194,AY618951,15476884
195,AY618952,15476884
196,AY618953,15476884
197,AY618954,15476884
198,AY618955,15476884
199,AY618956,15476884
200,AY618957,15476884
201,AY618958,15476884
202,AY618959,15476884
203,AY618960,15476884
204,AY618961,15476884
205,AY618962,15476884
206,AY618963,15476884
207,AY618964,15476884
208,AY618965,15476884
209,AY618966,15476884
210,AY618967,15476884
211,AY618968,15476884
212,AY618969,15476884
213,AY618970,15476884
214,AY618971,15476884
215,AY618972,15476884
216,AY618973,15476884
217,AY618974,15476884
218,AY618975,15476884
219,AY618976,15476884
220,AY618977,15476884
221,AY618978,15476884
222,AY618979,15476884
